rank,player_id,player_name,season,season_type,scraped_at,rk,name,pos,gp,min,pts,fgm,fga,fg_percent,3pm,3pa,3p_percent,ftm,fta,ft_percent,reb,ast,stl,blk,to,dd2,td3
99,3448,B. Lopez,2023-24,regular,2026-02-12T22:29:26.294171,99,B. Lopez,C,79,30.5,12.5,4.6,9.6,48.5,1.9,5.1,36.6,1.4,1.7,82.1,5.2,1.6,0.5,2.4,1.0,5,0
100,3995,J. Holiday,2023-24,regular,2026-02-12T22:29:26.294228,100,J. Holiday,G,69,32.8,12.5,4.8,10.0,48.0,2.0,4.7,42.9,0.9,1.0,83.3,5.4,4.8,0.9,0.8,1.8,7,0
101,4871145,J. Giddey,2023-24,regular,2026-02-12T22:29:26.294282,101,J. Giddey,G,80,25.2,12.3,5.0,10.6,47.5,1.0,3.0,33.7,1.3,1.6,80.6,6.4,4.8,0.7,0.6,2.1,10,3
102,6477,J. Valanciunas,2023-24,regular,2026-02-12T22:29:26.294336,102,J. Valanciunas,C,82,23.5,12.2,4.9,8.8,55.9,0.5,1.5,30.8,2.0,2.5,78.5,8.8,2.1,0.4,0.8,1.4,33,0
103,6578,H. Barnes,2023-24,regular,2026-02-12T22:29:26.294390,103,H. Barnes,F,82,29.0,12.2,4.2,8.9,47.4,1.8,4.7,38.7,1.9,2.4,80.1,3.0,1.2,0.7,0.1,0.7,0,0
104,4065778,M. Strus,2023-24,regular,2026-02-12T22:29:26.294446,104,M. Strus,G,70,32.0,12.2,4.3,10.4,41.8,2.4,6.8,35.1,1.1,1.4,79.4,4.8,4.0,0.9,0.4,1.6,5,1
105,4396909,A. Nesmith,2023-24,regular,2026-02-12T22:29:26.294500,105,A. Nesmith,G,72,27.7,12.2,4.4,8.8,49.6,1.9,4.6,41.9,1.5,1.9,78.1,3.8,1.5,0.9,0.7,0.9,1,0
106,4397002,A. Dosunmu,2023-24,regular,2026-02-12T22:29:26.294555,106,A. Dosunmu,G,76,29.1,12.2,4.7,9.5,50.1,1.6,3.9,40.3,1.1,1.4,81.0,2.8,3.2,0.9,0.5,1.4,1,0
107,2990984,B. Hield,2023-24,regular,2026-02-12T22:29:26.294609,107,B. Hield,G,84,25.7,12.1,4.4,10.1,43.6,2.6,6.8,38.6,0.6,0.7,88.1,3.2,2.8,0.8,0.5,1.2,1,0
108,3135046,T. Jones,2023-24,regular,2026-02-12T22:29:26.294664,108,T. Jones,G,66,29.3,12.0,4.9,10.1,48.9,1.6,3.9,41.4,0.5,0.6,80.0,2.7,7.3,1.1,0.3,1.0,9,1
109,4432848,J. Jaquez Jr.,2023-24,regular,2026-02-12T22:29:26.294717,109,J. Jaquez Jr.,F,75,28.2,11.9,4.5,9.3,48.9,0.9,2.7,32.2,1.9,2.3,81.1,3.8,2.6,1.0,0.3,1.5,1,0
110,4278067,N. Claxton,2023-24,regular,2026-02-12T22:29:26.294774,110,N. Claxton,C,71,29.8,11.8,5.2,8.2,62.9,0.0,0.1,20.0,1.5,2.8,55.1,9.9,2.1,0.6,2.1,1.3,30,0
111,4017837,I. Zubac,2023-24,regular,2026-02-12T22:29:26.294828,111,I. Zubac,C,68,26.4,11.7,5.0,7.6,64.9,0.0,0.0,0.0,1.8,2.4,72.3,9.2,1.4,0.3,1.2,1.2,23,0
112,4610139,J. Sochan,2023-24,regular,2026-02-12T22:29:26.294883,112,J. Sochan,F,74,29.6,11.6,4.6,10.5,43.8,0.9,3.1,30.8,1.5,1.9,77.1,6.4,3.4,0.8,0.5,1.9,7,0
113,4432809,C. Anthony,2023-24,regular,2026-02-12T22:29:26.294935,113,C. Anthony,G,81,22.4,11.6,4.1,9.4,43.5,1.1,3.4,33.8,2.2,2.7,82.6,3.8,2.9,0.8,0.5,1.6,3,0
114,3102529,C. Capela,2023-24,regular,2026-02-12T22:29:26.294990,114,C. Capela,C,73,25.8,11.5,4.8,8.5,57.1,0.0,0.0,0.0,1.8,2.8,63.1,10.6,1.2,0.6,1.5,1.0,38,0
115,3195,M. Conley,2023-24,regular,2026-02-12T22:29:26.295042,115,M. Conley,G,76,28.9,11.4,3.9,8.5,45.7,2.4,5.3,44.2,1.3,1.5,91.1,2.9,5.9,1.2,0.2,1.3,5,0
116,3907822,M. Beasley,2023-24,regular,2026-02-12T22:29:26.295100,116,M. Beasley,SG,79,29.6,11.3,4.1,9.1,44.3,2.8,6.9,41.3,0.3,0.4,71.4,3.7,1.4,0.7,0.1,0.7,1,0
117,4066650,Z. Collins,2023-24,regular,2026-02-12T22:29:26.295155,117,Z. Collins,F,69,22.1,11.2,4.3,8.9,48.4,0.8,2.6,32.0,1.8,2.3,75.3,5.4,2.8,0.5,0.8,1.9,3,0
118,3468,R. Westbrook,2023-24,regular,2026-02-12T22:29:26.295210,118,R. Westbrook,G,68,22.5,11.1,4.4,9.8,45.4,0.6,2.3,27.3,1.6,2.4,68.8,5.0,4.5,1.1,0.3,2.1,8,1
119,3431,E. Gordon,2023-24,regular,2026-02-12T22:29:26.295265,119,E. Gordon,G,68,27.8,11.0,4.0,9.1,44.3,2.2,5.8,37.8,0.8,0.9,79.7,1.8,2.0,1.0,0.4,1.1,0,0
120,4277813,H. Jones,2023-24,regular,2026-02-12T22:29:26.295320,120,H. Jones,F,76,30.5,11.0,3.9,7.7,49.8,1.5,3.6,41.8,1.8,2.1,86.7,3.6,2.6,1.4,0.8,1.2,0,0
121,4278049,D. Gafford,2023-24,regular,2026-02-12T22:29:26.295383,121,D. Gafford,F,74,24.5,11.0,4.7,6.5,72.5,0.0,0.0,0.0,1.6,2.4,67.4,7.6,1.6,0.9,2.1,1.0,15,0
122,3102530,J. Nurkic,2023-24,regular,2026-02-12T22:29:26.295440,122,J. Nurkic,C,76,27.3,10.9,4.2,8.3,51.0,0.3,1.2,24.4,2.2,3.4,64.0,11.0,4.0,1.1,1.1,2.3,28,0
123,4397020,L. Dort,2023-24,regular,2026-02-12T22:29:26.295494,123,L. Dort,G,79,28.4,10.9,3.6,8.3,43.8,2.0,5.0,39.4,1.6,2.0,82.6,3.6,1.4,0.9,0.6,0.9,0,0
124,3150844,M. Wagner,2023-24,regular,2026-02-12T22:29:26.295550,124,M. Wagner,F,80,17.7,10.9,4.2,6.9,60.1,0.5,1.4,33.0,2.1,2.6,81.4,4.3,1.2,0.5,0.3,1.2,3,0
125,4065670,B. Brown,2023-24,regular,2026-02-12T22:29:26.295604,125,B. Brown,G,67,27.8,10.8,4.1,8.7,47.8,0.8,2.4,32.3,1.7,2.1,82.4,4.2,2.9,0.9,0.3,1.3,2,0
126,4593125,S. Aldama,2023-24,regular,2026-02-12T22:29:26.295657,126,S. Aldama,F,61,26.5,10.7,4.0,9.3,43.5,1.7,5.0,34.9,0.9,1.4,62.1,5.8,2.3,0.7,0.9,1.1,5,0
127,4431671,J. McDaniels,2023-24,regular,2026-02-12T22:29:26.295711,127,J. McDaniels,F,72,29.2,10.5,4.3,8.7,48.9,1.2,3.5,33.7,0.8,1.1,72.2,3.1,1.4,0.9,0.6,1.2,0,0
128,3899664,S. Fontecchio,2023-24,regular,2026-02-12T22:29:26.295763,128,S. Fontecchio,F,66,24.9,10.5,3.8,8.3,46.0,2.0,5.1,40.1,0.8,1.0,81.8,3.7,1.5,0.7,0.3,1.0,0,0
129,2580782,S. Dinwiddie,2023-24,regular,2026-02-12T22:29:26.295820,129,S. Dinwiddie,PG,76,28.3,10.5,3.3,8.4,39.2,1.6,4.8,33.7,2.2,2.8,80.5,2.7,4.7,0.7,0.3,1.2,4,0
